date,price,opening_price,highest_price,lowest_price,volume,change
2025-04-15,84062,84587,86439,84048,59500,-0.62
2025-04-14,84586,83753,85795,83705,78030,1.02
2025-04-13,83734,85282,86000,83050,70930,-1.83
2025-04-12,85293,83420,85894,82828,55600,2.25
2025-04-11,83413,79606,84275,79004,94620,4.78
2025-04-10,79608,82607,82738,78496,92830,-3.63
2025-04-09,82607,76312,83567,74657,172180,8.25
2025-04-08,76312,79167,80840,76255,93880,-3.6
2025-04-07,79162,78407,81096,74524,170570,0.98
2025-04-06,78391,83528,83732,77171,79170,-6.18
2025-04-05,83552,83876,84249,82384,32710,-0.38
2025-04-04,83867,83160,84704,81691,91540,0.85
2025-04-03,83159,82523,83909,81314,83150,0.77
2025-04-02,82525,85166,88377,82359,104050,-3.1
2025-04-01,85164,82549,85506,82436,66720,3.17
2025-03-31,82549,82375,83896,81300,61760,0.22
2025-03-30,82372,82647,83533,81593,35370,-0.33
2025-03-29,82646,84412,84603,81668,39340,-2.09
2025-03-28,84410,87210,87508,83597,85250,-3.23
2025-03-27,87228,86937,87751,85844,56490,0.36
2025-03-26,86912,87350,88277,85866,62040,-0.56
2025-03-25,87404,87495,88523,86328,75240,-0.1
2025-03-24,87490,86076,88740,85542,95710,1.64
2025-03-23,86077,83840,86082,83813,31130,2.67
2025-03-22,83840,84077,84526,83688,20840,-0.28
2025-03-21,84073,84209,84831,83216,42800,-0.16
2025-03-20,84208,86841,87419,83656,69860,-3.03
2025-03-19,86841,82719,86991,82558,84610,4.98
2025-03-18,82719,84019,84019,81171,58170,-1.55
2025-03-17,84019,82580,84729,82525,58040,1.74
2025-03-16,82578,84341,84942,82014,50040,-2.09
2025-03-15,84341,83979,84680,83636,38400,0.43
2025-03-14,83977,81104,85287,80833,81230,3.55
2025-03-13,81100,83665,84292,79955,79250,-3.06
2025-03-12,83664,82921,84266,80647,88610,0.9
2025-03-11,82921,78580,83573,76677,123590,5.53
2025-03-10,78576,80702,83903,77480,120230,-2.62
2025-03-09,80692,86222,86499,80049,69900,-6.41
2025-03-08,86222,86784,86887,85265,41900,-0.36
2025-03-07,86531,89880,91060,84864,138110,-3.78
2025-03-06,89931,90612,92802,87850,89270,-0.75
2025-03-05,90612,87270,90938,86429,95540,3.83
2025-03-04,87266,86084,88888,81617,132500,1.23
2025-03-03,86210,94266,94266,85141,143150,-8.55
2025-03-02,94265,86066,94986,85069,126760,9.52
2025-03-01,86072,84353,86546,83837,79510,2.0
2025-02-28,84381,84713,85029,78330,186900,-0.39
2025-02-27,84715,84205,87014,82724,116140,0.6
2025-02-26,84213,88675,89375,82333,145330,-5.04
2025-02-25,88686,91510,92523,86098,195290,-3.08
2025-02-24,91508,96261,96498,91378,96460,-4.93
2025-02-23,96259,96556,96655,95260,38820,-0.31
2025-02-22,96556,96158,96931,95801,45620,0.42
2025-02-21,96156,98310,99473,94904,104280,-2.19
2025-02-20,98310,96645,98722,96442,61840,1.72
2025-02-19,96645,95664,96830,95049,58270,1.05
2025-02-18,95638,95782,96645,93403,74090,-0.15
2025-02-17,95781,96120,97002,95222,58400,-0.36
2025-02-16,96132,97573,97706,96060,33350,-1.48
2025-02-15,97573,97504,97973,97211,29650,0.07
2025-02-14,97505,96612,98817,96316,65370,0.93
2025-02-13,96610,97875,98080,95295,66760,-1.3
2025-02-12,97881,95777,98096,94111,87210,2.2
2025-02-11,95772,97435,98476,94903,69890,-1.71
2025-02-10,97435,96469,98312,95308,71430,1.0
2025-02-09,96469,96448,97298,94750,48380,0.02
2025-02-08,96448,96514,96863,95716,38990,-0.07
2025-02-07,96514,96565,100134,95694,97600,-0.06
2025-02-06,96569,96606,99119,95707,76920,-0.03
2025-02-05,96595,97785,99028,96164,82920,-1.23
2025-02-04,97793,101340,101693,96190,117350,-3.5
2025-02-03,101337,97686,102372,91696,190810,3.74
2025-02-02,97685,100647,101451,96250,99360,-2.94
2025-02-01,100648,102421,102771,100294,47480,-1.73
2025-01-31,102424,104727,105876,101576,82790,-2.2
2025-01-30,104727,103723,106409,103388,74840,0.97
2025-01-29,103722,101342,104760,101341,74380,2.34
2025-01-28,101349,102085,103584,100288,74690,-0.73
2025-01-27,102092,102618,103235,97988,146380,-0.53
2025-01-26,102638,104744,105400,102544,32180,-2.01
2025-01-25,104743,104861,105256,104134,37680,-0.11
2025-01-24,104862,103914,107102,102760,83960,0.91
2025-01-23,103912,103681,106806,101282,141800,0.22
2025-01-22,103685,106157,106266,103354,77560,-2.33
2025-01-21,106157,102190,107212,100192,129360,3.87
2025-01-20,102198,101313,109229,99676,202660,0.87
2025-01-19,101320,104537,106338,99743,123720,-3.08
2025-01-18,104537,104085,104953,102297,79300,0.43
2025-01-17,104085,99992,105844,99956,127330,4.08
2025-01-16,100004,100500,100812,97400,87080,-0.49
2025-01-15,100500,96547,100671,96502,95320,4.1
2025-01-14,96542,94537,97361,94360,87790,2.12
2025-01-13,94534,94540,95907,89665,115200,-0.08
2025-01-11,94612,94724,94766,93848,72660,-0.12
2025-01-10,94724,92540,95761,92311,125420,2.36
2025-01-09,92540,95067,95323,91242,132780,-2.66
2025-01-08,95067,96938,97266,92717,100360,-1.92
2025-01-07,96930,102248,102678,96201,99770,-5.2
2025-01-06,102249,98373,102474,97932,86730,3.97
2025-01-05,98348,98220,98823,97300,31340,0.13
2025-01-04,98220,98169,98743,97569,36560,0.05
2025-01-03,98168,96960,98963,96091,61620,1.25
2025-01-02,96960,94561,97808,94381,76130,2.54
2025-01-01,94560,93557,95100,92939,43340,1.07
2024-12-31,93557,92777,96163,92036,74850,0.84
2024-12-30,92780,93719,94936,91522,112430,-1.0
2024-12-29,93716,95283,95315,93027,47710,-1.65
2024-12-28,95284,94275,95684,94125,32970,1.07
2024-12-27,94276,95776,97243,93473,85120,-1.57
2024-12-26,95778,99389,99922,95193,74600,-3.64
2024-12-25,99391,98662,99514,97652,39800,0.73
